selector,equivalence_id,member_count,base_name,render_bucket,structure_fingerprint,members,basis
albedo_alpha.sps,SHADER_EQ_0001,1,albedo_alpha,1,823450d0e6ca511e,albedo_alpha.sps,"same base shader, render bucket, parameters and layouts"
alpha.sps,SHADER_EQ_0002,1,default,1,6e1f9c294ac8ec80,alpha.sps,"same base shader, render bucket, parameters and layouts"
blend_2lyr.sps,SHADER_EQ_0003,1,blend_2lyr,0,471613f64a51f76d,blend_2lyr.sps,"same base shader, render bucket, parameters and layouts"
cable.sps,SHADER_EQ_0004,1,cable,1,c8ae72f56a2f53ca,cable.sps,"same base shader, render bucket, parameters and layouts"
cloth_default.sps,SHADER_EQ_0005,1,cloth_default,0,99eecb6328d7f190,cloth_default.sps,"same base shader, render bucket, parameters and layouts"
cloth_normal_spec.sps,SHADER_EQ_0006,1,cloth_normal_spec,0,bd0eb37cae35e7cf,cloth_normal_spec.sps,"same base shader, render bucket, parameters and layouts"
cloth_normal_spec_alpha.sps,SHADER_EQ_0007,1,cloth_normal_spec,1,bd0eb37cae35e7cf,cloth_normal_spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
cloth_normal_spec_cutout.sps,SHADER_EQ_0008,1,cloth_normal_spec,3,bd0eb37cae35e7cf,cloth_normal_spec_cutout.sps,"same base shader, render bucket, parameters and layouts"
cloth_normal_spec_tnt.sps,SHADER_EQ_0009,1,cloth_normal_spec_tnt,0,4933a3f44b416415,cloth_normal_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
cloth_spec_alpha.sps,SHADER_EQ_0010,1,cloth_spec_alpha,1,2a65d46b4a9f1670,cloth_spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
cloth_spec_cutout.sps,SHADER_EQ_0011,1,cloth_spec_alpha,3,2a65d46b4a9f1670,cloth_spec_cutout.sps,"same base shader, render bucket, parameters and layouts"
clouds_altitude.sps,SHADER_EQ_0012,1,clouds_altitude,0,d28945c07d972fd0,clouds_altitude.sps,"same base shader, render bucket, parameters and layouts"
clouds_anim.sps,SHADER_EQ_0013,1,clouds_anim,0,badb85fddac52666,clouds_anim.sps,"same base shader, render bucket, parameters and layouts"
clouds_animsoft.sps,SHADER_EQ_0014,1,clouds_animsoft,0,ce21449f346f7ce8,clouds_animsoft.sps,"same base shader, render bucket, parameters and layouts"
clouds_fast.sps,SHADER_EQ_0015,1,clouds_fast,0,af2d4c2eb76fd76a,clouds_fast.sps,"same base shader, render bucket, parameters and layouts"
clouds_fog.sps,SHADER_EQ_0016,1,clouds_fog,0,47c5572d6214c5ef,clouds_fog.sps,"same base shader, render bucket, parameters and layouts"
clouds_soft.sps,SHADER_EQ_0017,1,clouds_soft,0,48790ade14be4f99,clouds_soft.sps,"same base shader, render bucket, parameters and layouts"
cpv_only.sps,SHADER_EQ_0018,1,cpv_only,0,76101000dc568519,cpv_only.sps,"same base shader, render bucket, parameters and layouts"
cutout.sps,SHADER_EQ_0019,1,default,3,6e1f9c294ac8ec80,cutout.sps,"same base shader, render bucket, parameters and layouts"
cutout_fence.sps,SHADER_EQ_0020,1,cutout_fence,3,e0dbeaada2e52c81,cutout_fence.sps,"same base shader, render bucket, parameters and layouts"
cutout_fence_normal.sps,SHADER_EQ_0021,1,cutout_fence_normal,3,ae25d0f95f1405d4,cutout_fence_normal.sps,"same base shader, render bucket, parameters and layouts"
cutout_hard.sps,SHADER_EQ_0022,1,cutout_hard,0,823450d0e6ca511e,cutout_hard.sps,"same base shader, render bucket, parameters and layouts"
cutout_spec_tnt.sps,SHADER_EQ_0023,1,spec_tnt,3,a3538da9a760ec88,cutout_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
cutout_tnt.sps,SHADER_EQ_0024,1,default_tnt,3,1569cc499a7263a5,cutout_tnt.sps,"same base shader, render bucket, parameters and layouts"
cutout_um.sps,SHADER_EQ_0025,1,default_um,3,b1d7da839a844184,cutout_um.sps,"same base shader, render bucket, parameters and layouts"
decal.sps,SHADER_EQ_0026,1,decal,2,4c27bd671aca9146,decal.sps,"same base shader, render bucket, parameters and layouts"
decal_amb_only.sps,SHADER_EQ_0027,1,decal_amb_only,2,139009de90c80077,decal_amb_only.sps,"same base shader, render bucket, parameters and layouts"
decal_diff_only_um.sps,SHADER_EQ_0028,1,decal_diff_only_um,2,be5e4cce823cabe8,decal_diff_only_um.sps,"same base shader, render bucket, parameters and layouts"
decal_dirt.sps,SHADER_EQ_0029,1,decal_dirt,2,dcc0170629f8b9de,decal_dirt.sps,"same base shader, render bucket, parameters and layouts"
decal_emissive_only.sps,SHADER_EQ_0030,1,decal_emissive_only,2,aadf6c15f78e096d,decal_emissive_only.sps,"same base shader, render bucket, parameters and layouts"
decal_emissivenight_only.sps,SHADER_EQ_0031,1,decal_emissivenight_only,2,f070200972bee024,decal_emissivenight_only.sps,"same base shader, render bucket, parameters and layouts"
decal_glue.sps,SHADER_EQ_0032,1,decal_glue,2,5cd557f1c8672ad1,decal_glue.sps,"same base shader, render bucket, parameters and layouts"
decal_normal_only.sps,SHADER_EQ_0033,1,decal_normal_only,2,0441b6ba5691fa83,decal_normal_only.sps,"same base shader, render bucket, parameters and layouts"
decal_normal_spec_um.sps,SHADER_EQ_0034,1,decal_normal_spec_um,2,8dbbfe5a25ab5732,decal_normal_spec_um.sps,"same base shader, render bucket, parameters and layouts"
decal_shadow_only.sps,SHADER_EQ_0035,1,decal_shadow_only,2,508a7b6de1181764,decal_shadow_only.sps,"same base shader, render bucket, parameters and layouts"
decal_spec_only.sps,SHADER_EQ_0036,1,decal_spec_only,2,faab671b3e4d1a72,decal_spec_only.sps,"same base shader, render bucket, parameters and layouts"
decal_tnt.sps,SHADER_EQ_0037,1,decal_tnt,2,2ab0d44b7d48d1bb,decal_tnt.sps,"same base shader, render bucket, parameters and layouts"
default.sps,SHADER_EQ_0038,3,default,0,6e1f9c294ac8ec80,default.sps | default_noedge.sps | gta_default.sps,"same base shader, render bucket, parameters and layouts"
