equivalence_id,member_count,base_name,render_bucket,members,basis
SHADER_EQ_0001,1,albedo_alpha,1,albedo_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0002,1,default,1,alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0003,1,blend_2lyr,0,blend_2lyr.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0004,1,cable,1,cable.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0005,1,cloth_default,0,cloth_default.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0006,1,cloth_normal_spec,0,cloth_normal_spec.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0007,1,cloth_normal_spec,1,cloth_normal_spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0008,1,cloth_normal_spec,3,cloth_normal_spec_cutout.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0009,1,cloth_normal_spec_tnt,0,cloth_normal_spec_tnt.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0010,1,cloth_spec_alpha,1,cloth_spec_alpha.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0011,1,cloth_spec_alpha,3,cloth_spec_cutout.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0012,1,clouds_altitude,0,clouds_altitude.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0013,1,clouds_anim,0,clouds_anim.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0014,1,clouds_animsoft,0,clouds_animsoft.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0015,1,clouds_fast,0,clouds_fast.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0016,1,clouds_fog,0,clouds_fog.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0017,1,clouds_soft,0,clouds_soft.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0018,1,cpv_only,0,cpv_only.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0019,1,default,3,cutout.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0020,1,cutout_fence,3,cutout_fence.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0021,1,cutout_fence_normal,3,cutout_fence_normal.sps,"same base shader, render bucket, parameters and layouts"
SHADER_EQ_0022,1,cutout_hard,0,cutout_hard.sps,"same base shader, render bucket, parameters and layouts"
